home_score,home_wins,home_losses,home_fgm,home_fga,home_3pm,home_3pa,home_ftm,home_fta,home_oreb,home_dreb,home_treb,home_ast,home_blk,home_to,home_pf,home_poss,away_score,away_wins,away_losses,away_fgm,away_fga,away_3pm,away_3pa,away_ftm,away_fta,away_oreb,away_dreb,away_treb,away_ast,away_blk,away_to,away_pf,away_poss,winner
79,13,12,27,64,8,24,16,24,14,28,2,15,4,16,21,60,72,12,12,27,58,6,18,12,18,12,26,4,15,3,14,19,57,home
71,4,4,26,54,9,22,11,18,8,23,2,12,5,14,19,57,75,3,3,26,59,12,31,11,16,9,25,3,14,2,12,18,57,home
79,3,3,27,56,7,20,18,25,9,25,5,13,4,14,20,59,76,4,2,26,57,9,26,15,21,10,24,4,15,3,15,21,58,home
73,6,5,26,56,7,20,13,20,7,29,2,15,3,13,19,59,74,7,4,25,55,7,22,16,23,10,26,2,12,2,14,21,55,away
71,12,18,26,58,6,18,13,19,10,26,3,12,2,11,17,54,73,9,20,25,60,7,21,15,21,11,24,3,12,3,12,21,55,home
67,6,18,23,54,7,21,13,19,9,25,3,11,2,15,19,54,73,14,10,26,57,7,20,14,18,10,26,3,16,4,14,16,57,away
66,10,13,23,57,8,25,12,16,9,20,3,13,3,13,20,55,80,12,9,27,57,9,23,18,23,9,24,3,15,2,12,20,57,away
72,9,3,25,56,7,19,14,19,11,24,4,14,1,15,16,55,77,8,4,26,61,7,23,18,25,11,29,3,14,4,17,21,61,away
89,1,2,33,71,9,28,15,21,12,31,3,15,5,13,21,68,64,2,0,23,60,9,26,11,16,13,32,4,13,3,16,20,54,away
81,2,1,29,59,8,23,15,22,7,27,2,15,2,9,16,59,85,3,0,30,58,8,20,17,23,13,30,3,20,4,11,13,57,away
77,26,10,27,58,5,15,17,25,12,27,2,13,5,13,19,56,72,24,11,26,54,7,20,14,19,8,23,3,14,3,12,18,55,away
87,16,2,31,61,7,19,17,25,11,27,3,15,5,13,20,61,81,16,2,29,61,10,25,14,17,11,26,3,17,4,9,15,57,home
72,6,5,25,57,7,20,14,21,10,28,4,16,4,16,19,58,74,5,4,27,59,8,23,13,19,9,28,2,13,2,16,19,61,away
74,2,5,27,60,7,21,13,18,10,24,4,15,2,13,23,58,72,2,3,27,63,7,19,12,16,13,23,4,16,3,11,19,55,home
69,9,9,23,55,8,25,14,21,9,28,4,13,5,15,18,56,74,7,12,26,57,7,21,16,22,12,25,3,14,3,16,19,56,home
74,3,1,27,59,8,26,11,15,11,21,2,15,2,9,13,54,84,3,2,32,67,10,26,11,16,13,27,5,16,4,13,17,63,home
72,5,3,23,54,7,21,20,28,13,27,2,12,4,15,17,51,89,6,1,32,62,6,17,19,27,12,28,3,15,5,12,21,62,away
84,15,2,31,65,9,26,13,18,12,22,3,15,3,11,20,61,81,8,6,28,60,10,26,15,22,10,28,3,17,5,13,17,60,home
74,8,14,26,60,7,19,16,21,11,24,4,13,2,16,21,59,76,8,10,26,57,6,20,17,26,10,28,4,13,4,16,22,59,home
71,5,2,27,61,6,22,11,15,9,23,3,12,3,12,19,59,65,3,3,22,55,5,19,16,24,13,24,4,12,4,13,18,48,home
64,6,19,22,53,7,21,12,18,7,24,3,10,3,16,18,56,74,16,9,27,57,8,20,13,17,8,26,3,15,3,14,19,60,away
